year,month,date,hour,minute,second,state
21,8,17,6,30,56,1
21,8,17,6,55,56,1
21,8,17,6,56,17,0
21,8,17,7,1,17,0
21,8,17,7,1,22,1
21,8,17,7,26,22,1
21,8,17,7,26,53,0
21,8,17,7,31,53,0
21,8,17,7,52,46,1
21,8,17,7,52,50,1
21,8,17,7,53,39,1
21,8,17,8,18,39,1
21,8,17,8,18,44,0
21,8,17,8,23,44,0
21,8,17,8,32,43,1
21,8,17,8,57,43,1
21,8,17,8,57,49,0
21,8,17,9,2,49,0
21,8,17,9,2,57,1
21,8,17,9,12,8,1
21,8,17,9,12,9,1
21,8,17,9,33,59,1
21,8,17,9,34,2,0
21,8,17,9,39,2,0
21,8,17,9,39,19,1
21,8,17,10,4,19,1
21,8,17,10,4,34,0
21,8,17,10,19,34,0
21,8,17,10,19,43,1
21,8,17,10,44,43,1
21,8,17,10,45,0,0
21,8,17,10,50,0,0
21,8,17,10,51,3,1
21,8,17,11,16,3,1
21,8,17,11,16,7,0
21,8,17,11,21,7,0
21,8,17,11,21,18,1
21,8,17,11,46,18,1
21,8,17,11,46,23,0
21,8,17,11,51,23,0
21,8,17,11,54,17,1
21,8,17,12,2,1,1
21,8,17,13,18,50,1
21,8,17,13,43,50,1
21,8,17,13,43,57,1
21,8,17,13,44,0,1
21,8,17,13,44,2,1
21,8,17,13,44,4,1
21,8,17,13,44,6,0
21,8,17,13,49,6,0
21,8,17,13,49,52,1
21,8,17,14,14,52,1
21,8,17,14,14,59,0
21,8,17,14,19,59,0
21,8,17,14,20,12,1
21,8,17,14,45,12,1
21,8,17,14,45,19,0
21,8,17,14,50,19,0
21,8,17,14,50,23,1
21,8,17,15,15,23,1
21,8,17,15,15,28,0
21,8,17,15,30,28,0
21,8,17,15,31,12,1
21,8,17,15,56,12,1
21,8,17,15,56,16,0
21,8,17,16,1,16,0
21,8,17,16,1,30,1
21,8,17,16,26,30,1
21,8,17,16,26,34,0
21,8,17,16,31,34,0
21,8,17,16,31,37,1
21,8,17,16,56,37,1
21,8,17,16,56,41,0
21,8,17,17,1,41,0
21,8,17,17,2,36,1
21,8,17,17,27,36,1
21,8,17,17,27,51,0
21,8,17,17,42,51,0
21,8,17,17,43,13,1
21,8,17,17,43,57,1
21,8,17,17,44,38,1
21,8,17,17,45,51,1
21,8,17,17,46,22,1
21,8,17,17,50,9,1
21,8,17,17,50,25,1
21,8,17,17,50,28,1
21,8,17,18,11,41,1
21,8,17,18,11,45,1
21,8,17,18,12,5,1
21,8,17,18,20,37,1
21,8,17,18,20,52,1
21,8,17,18,45,52,1
21,8,18,6,56,23,1
21,8,18,7,21,23,1
21,8,18,7,21,40,0
21,8,18,7,26,40,0
21,8,18,7,32,49,1
21,8,18,7,57,49,1
21,8,18,7,57,54,0
21,8,18,8,2,54,0
21,8,18,8,4,12,1
21,8,18,8,29,12,1
21,8,18,8,29,15,0
21,8,18,8,34,15,0
21,8,18,8,34,52,1
21,8,18,8,59,52,1
21,8,18,8,59,59,0
21,8,18,9,10,8,0
21,8,18,9,10,9,0
21,8,18,9,17,6,0
21,8,18,9,17,10,0
21,8,18,9,17,12,0
21,8,18,9,18,2,1
21,8,18,9,43,2,1
21,8,18,9,43,5,0
21,8,18,9,48,5,0
21,8,18,9,48,12,1
21,8,18,10,13,12,1
21,8,18,10,13,22,0
21,8,18,10,18,22,0
21,8,18,10,18,37,1
21,8,18,10,43,37,1
21,8,18,10,43,42,0
21,8,18,10,48,42,0
21,8,18,10,49,55,1
21,8,18,10,49,58,1
21,8,18,10,49,59,0
21,8,18,10,59,25,0
21,8,18,10,59,34,1
21,8,18,11,24,34,1
21,8,18,11,24,45,0
21,8,18,11,29,45,0
21,8,18,11,30,0,1
21,8,18,11,55,0,1
21,8,18,13,2,39,0
21,8,18,13,2,43,0
21,8,18,13,11,1,1
21,8,18,13,36,1,1
21,8,18,13,36,5,0
21,8,18,13,41,5,0
21,8,18,13,43,39,1
21,8,18,14,8,39,1
21,8,18,14,8,42,0
21,8,18,14,13,42,0
21,8,18,14,15,0,1
21,8,18,14,40,0,1
21,8,18,14,40,5,0
21,8,18,14,45,5,0
21,8,18,14,45,40,1
21,8,18,15,8,17,1
21,8,18,15,8,51,1
21,8,18,15,11,14,1
21,8,18,15,11,34,0
21,8,18,15,26,34,0
21,8,18,15,28,13,1
21,8,18,15,53,13,1
21,8,18,15,53,45,0
21,8,18,15,58,45,0
21,8,18,16,0,8,1
21,8,18,16,25,8,1
21,8,18,16,25,53,0
21,8,18,16,30,53,0
21,8,18,16,31,2,1
21,8,18,16,56,2,1
21,8,18,16,56,21,0
21,8,18,17,1,21,0
21,8,18,17,5,20,1
21,8,18,17,30,20,1
21,8,18,17,30,23,0
21,8,18,17,45,23,0
21,8,18,17,47,4,1
21,8,18,18,12,4,1
21,8,20,7,41,1,1
21,8,20,8,6,1,1
21,8,20,8,6,7,0
21,8,20,8,11,7,0
21,8,20,8,27,18,1
21,8,20,8,27,21,1
21,8,20,8,27,47,1
21,8,20,8,52,47,1
21,8,20,8,52,50,0
21,8,20,8,57,50,0
21,8,20,8,59,47,1
21,8,20,9,24,58,1
21,8,20,9,24,58,1
21,8,20,9,25,17,1
21,8,20,9,25,21,1
21,8,20,9,25,24,1
21,8,20,9,25,26,0
21,8,20,9,30,26,0
21,8,20,9,38,7,1
21,8,20,10,13,48,1
21,8,20,10,22,43,1
21,8,20,10,52,30,1
21,8,20,11,16,39,1
21,8,20,11,58,6,1
21,8,20,13,25,10,1
21,8,20,13,25,13,1
21,8,20,13,26,16,1
21,8,20,13,51,16,1
21,8,20,13,51,25,0
21,8,20,13,56,25,0
21,8,20,13,57,54,1
21,8,20,14,22,54,1
21,8,20,14,22,59,0
21,8,20,14,27,59,0
21,8,20,14,28,33,1
21,8,20,14,53,33,1
21,8,20,14,53,44,0
21,8,20,14,58,44,0
21,8,20,14,58,56,1
21,8,20,15,23,56,1
21,8,20,15,24,3,0
21,8,20,15,39,3,0
21,8,20,15,48,34,1
21,8,20,16,13,34,1
21,8,20,16,13,50,1
21,8,20,16,17,46,1
21,8,20,17,11,45,1
21,8,20,17,24,38,1
